latency,duration,type,marker_value,key,timestamp,marker_id
5.258871,0.000000,marker,1,-1,1740584115.730536,1
10.670003,0.000000,marker,1,-1,1740584121.141668,2
16.088943,0.000000,marker,2,-1,1740584126.560608,3
21.550829,0.000000,marker,1,-1,1740584132.022494,4
26.883878,0.000000,marker,3,-1,1740584137.355543,5
32.337956,0.000000,marker,1,-1,1740584142.809621,6
37.729567,0.000000,marker,1,-1,1740584148.201232,7
43.050904,0.000000,marker,1,-1,1740584153.522569,8
48.450324,0.000000,marker,1,-1,1740584158.921989,9
53.912210,0.000000,marker,3,-1,1740584164.383875,10
59.381904,0.000000,marker,1,-1,1740584169.853569,11
64.672008,0.000000,marker,2,-1,1740584175.143673,12
70.129989,0.000000,marker,1,-1,1740584180.601654,13
75.412285,0.000000,marker,2,-1,1740584185.883950,14
80.831225,0.000000,marker,1,-1,1740584191.302890,15
86.250165,0.000000,marker,2,-1,1740584196.721830,16
91.715956,0.000000,marker,1,-1,1740584202.187621,17
97.127087,0.000000,marker,3,-1,1740584207.598752,18
102.413287,0.000000,marker,1,-1,1740584212.884952,19
107.761953,0.000000,marker,1,-1,1740584218.233618,20
113.071578,0.000000,marker,3,-1,1740584223.543243,21
118.533464,0.000000,marker,1,-1,1740584229.005129,22
123.893842,0.000000,marker,3,-1,1740584234.365507,23
129.301070,0.000000,marker,1,-1,1740584239.772735,24
134.587269,0.000000,marker,3,-1,1740584245.058934,25
139.959360,0.000000,marker,1,-1,1740584250.431025,26
145.354876,0.000000,marker,3,-1,1740584255.826541,27
150.758199,0.000000,marker,1,-1,1740584261.229864,28
156.067824,0.000000,marker,2,-1,1740584266.539489,29
161.389161,0.000000,marker,1,-1,1740584271.860826,30
166.726115,0.000000,marker,3,-1,1740584277.197780,31
172.180192,0.000000,marker,1,-1,1740584282.651857,32
177.544474,0.000000,marker,3,-1,1740584288.016139,33
182.932182,0.000000,marker,1,-1,1740584293.403847,34
188.237902,0.000000,marker,3,-1,1740584298.709567,35
193.578760,0.000000,marker,1,-1,1740584304.050425,36
198.923522,0.000000,marker,1,-1,1740584309.395187,37
204.350270,0.000000,marker,2,-1,1740584314.821935,38
209.769210,0.000000,marker,1,-1,1740584320.240875,39
215.051506,0.000000,marker,3,-1,1740584325.523171,40
220.482159,0.000000,marker,1,-1,1740584330.953824,41
225.772263,0.000000,marker,2,-1,1740584336.243928,42
231.124833,0.000000,marker,1,-1,1740584341.596498,43
236.539869,0.000000,marker,3,-1,1740584347.011534,44
241.908056,0.000000,marker,1,-1,1740584352.379721,45
247.291858,0.000000,marker,3,-1,1740584357.763523,46
252.699086,0.000000,marker,1,-1,1740584363.170751,47
258.082890,0.000000,marker,2,-1,1740584368.554555,48
263.474501,0.000000,marker,1,-1,1740584373.946166,49
268.881729,0.000000,marker,2,-1,1740584379.353394,50
274.320190,0.000000,marker,1,-1,1740584384.791855,51
279.774267,0.000000,marker,2,-1,1740584390.245932,52
285.142454,0.000000,marker,1,-1,1740584395.614119,53
290.584819,0.000000,marker,2,-1,1740584401.056484,54
295.941294,0.000000,marker,1,-1,1740584406.412959,55
