latency,duration,type,marker_value,key,timestamp,marker_id
5.207076,0.000000,marker,1,-1,1740567512.281649,1
10.427463,0.000000,marker,1,-1,1740567517.502036,2
15.682587,0.000000,marker,2,-1,1740567522.757160,3
21.038818,0.000000,marker,1,-1,1740567528.113391,4
26.425383,0.000000,marker,3,-1,1740567533.499956,5
31.732159,0.000000,marker,1,-1,1740567538.806732,6
36.997497,0.000000,marker,2,-1,1740567544.072070,7
42.253421,0.000000,marker,1,-1,1740567549.327994,8
47.501136,0.000000,marker,3,-1,1740567554.575709,9
52.812116,0.000000,marker,1,-1,1740567559.886689,10
58.116695,0.000000,marker,1,-1,1740567565.191268,11
63.341893,0.000000,marker,1,-1,1740567570.416466,12
68.708930,0.000000,marker,1,-1,1740567575.783503,13
73.986979,0.000000,marker,3,-1,1740567581.061552,14
79.272637,0.000000,marker,1,-1,1740567586.347210,15
84.590126,0.000000,marker,1,-1,1740567591.664699,16
89.860767,0.000000,marker,1,-1,1740567596.935340,17
95.262948,0.000000,marker,1,-1,1740567602.337521,18
100.525981,0.000000,marker,1,-1,1740567607.600554,19
105.773496,0.000000,marker,3,-1,1740567612.848069,20
111.183985,0.000000,marker,1,-1,1740567618.258558,21
116.559437,0.000000,marker,1,-1,1740567623.634010,22
121.792136,0.000000,marker,1,-1,1740567628.866709,23
127.176195,0.000000,marker,1,-1,1740567634.250768,24
132.418308,0.000000,marker,1,-1,1740567639.492881,25
137.783247,0.000000,marker,2,-1,1740567644.857820,26
143.139878,0.000000,marker,1,-1,1740567650.214451,27
148.421931,0.000000,marker,1,-1,1740567655.496504,28
153.791573,0.000000,marker,3,-1,1740567660.866146,29
159.090649,0.000000,marker,1,-1,1740567666.165222,30
164.314241,0.000000,marker,2,-1,1740567671.388814,31
169.686987,0.000000,marker,1,-1,1740567676.761560,32
174.977848,0.000000,marker,3,-1,1740567682.052421,33
180.197735,0.000000,marker,1,-1,1740567687.272308,34
185.577491,0.000000,marker,2,-1,1740567692.652064,35
190.804687,0.000000,marker,1,-1,1740567697.879260,36
196.200958,0.000000,marker,1,-1,1740567703.275531,37
201.575111,0.000000,marker,1,-1,1740567708.649684,38
206.803806,0.000000,marker,3,-1,1740567713.878379,39
212.082155,0.000000,marker,1,-1,1740567719.156728,40
217.488939,0.000000,marker,1,-1,1740567724.563512,41
222.735856,0.000000,marker,1,-1,1740567729.810429,42
228.124219,0.000000,marker,2,-1,1740567735.198792,43
233.491463,0.000000,marker,1,-1,1740567740.566036,44
238.805149,0.000000,marker,2,-1,1740567745.879722,45
244.192313,0.000000,marker,1,-1,1740567751.266886,46
249.494886,0.000000,marker,1,-1,1740567756.569459,47
254.879245,0.000000,marker,2,-1,1740567761.953818,48
260.191732,0.000000,marker,1,-1,1740567767.266305,49
265.439148,0.000000,marker,2,-1,1740567772.513721,50
270.745425,0.000000,marker,1,-1,1740567777.819998,51
276.128485,0.000000,marker,1,-1,1740567783.203058,52
281.387813,0.000000,marker,2,-1,1740567788.462386,53
286.680779,0.000000,marker,1,-1,1740567793.755352,54
291.975844,0.000000,marker,1,-1,1740567799.050417,55
297.355799,0.000000,marker,2,-1,1740567804.430372,56
